grid_id,year,week_of_season,fire_count,fire_count_last_week,same_week_last_year,3yr_avg,neighbor_fire_count,avg_frp,avg_brightness,night_fire_pct,avg_confidence
30_11,2022,6,14,39.0,71.0,44.333333333333336,59,10.800714285714287,330.5492857142857,0.0,61.92857142857143
30_11,2023,4,2,0.0,14.0,12.666666666666666,13,5.58,327.62,0.0,65.5
30_11,2023,5,4,2.0,39.0,37.333333333333336,41,3.3649999999999998,339.15,0.0,60.0
30_11,2023,6,17,4.0,14.0,43.333333333333336,78,9.665882352941177,336.3623529411765,0.0,60.88235294117647
30_11,2023,7,6,17.0,0.0,6.666666666666667,47,5.14,333.5783333333333,0.0,60.833333333333336
30_12,2018,2,2,0.0,0.0,0.0,9,7.18,327.95500000000004,0.0,58.5
30_12,2018,3,12,2.0,0.0,0.0,27,10.4475,332.71250000000003,0.0,67.5
30_12,2018,4,14,12.0,0.0,0.0,59,7.912142857142858,337.6714285714285,0.0,62.714285714285715
30_12,2018,5,13,14.0,0.0,0.0,95,7.18076923076923,335.81384615384616,0.0,60.69230769230769
30_12,2018,6,14,13.0,0.0,0.0,263,8.656428571428572,334.61499999999995,0.0,62.285714285714285
30_12,2018,7,2,14.0,0.0,0.0,40,5.359999999999999,322.48,0.0,62.0
30_12,2018,8,2,2.0,0.0,0.0,1,8.004999999999999,341.45,0.0,79.5
30_12,2019,4,15,0.0,14.0,14.0,84,7.881333333333333,336.63666666666666,0.0,60.93333333333333
30_12,2019,5,8,15.0,13.0,13.0,128,5.2575,339.505,0.0,60.0
30_12,2019,6,16,8.0,14.0,14.0,163,6.59,337.98625,0.0,63.5625
30_12,2019,8,2,16.0,2.0,2.0,5,13.2,331.065,0.0,68.0
30_12,2020,1,1,0.0,0.0,0.0,3,1.35,331.64,0.0,60.0
30_12,2020,3,3,1.0,0.0,12.0,10,7.696666666666666,330.54333333333335,0.0,62.666666666666664
30_12,2020,4,6,3.0,15.0,14.5,72,4.248333333333334,337.1816666666667,0.0,60.0
30_12,2020,5,26,6.0,8.0,10.5,221,10.63423076923077,337.17846153846153,0.0,62.73076923076923
30_12,2020,6,24,26.0,16.0,15.0,283,6.43625,341.0366666666667,0.0,65.66666666666667
30_12,2020,7,2,24.0,0.0,2.0,60,10.745000000000001,328.03999999999996,0.0,65.5
30_12,2021,1,1,0.0,1.0,1.0,9,5.67,348.24,0.0,60.0
30_12,2021,2,5,1.0,0.0,2.0,24,7.736,332.276,0.0,58.4
30_12,2021,3,4,5.0,3.0,7.5,24,2.63,334.0,0.0,60.0
30_12,2021,5,10,4.0,26.0,15.666666666666666,157,8.062000000000001,335.137,0.0,62.2
30_12,2021,6,37,10.0,24.0,18.0,459,7.4762162162162165,337.03675675675674,0.0,62.5945945945946
30_12,2021,7,12,37.0,2.0,2.0,57,17.923333333333332,334.1958333333333,0.0,69.33333333333333
30_12,2021,8,3,12.0,0.0,2.0,2,5.206666666666667,331.9266666666667,0.0,64.33333333333333
30_12,2022,4,13,0.0,0.0,11.666666666666666,90,8.160769230769231,330.7615384615384,0.0,64.07692307692308
30_12,2022,5,13,13.0,10.0,14.666666666666666,183,7.088461538461538,336.9884615384616,0.0,61.0
30_12,2022,6,2,13.0,37.0,25.666666666666668,70,11.235,336.27,0.0,60.0
30_12,2022,7,7,2.0,12.0,5.333333333333333,8,5.0371428571428565,336.78142857142853,0.0,60.0
30_12,2023,2,1,0.0,0.0,3.5,1,12.0,320.7,0.0,73.0
30_12,2023,5,1,1.0,13.0,16.333333333333332,19,6.17,338.6,0.0,60.0
30_12,2023,6,4,1.0,2.0,21.0,51,11.059999999999999,334.22249999999997,0.5,62.0
30_12,2023,7,5,4.0,7.0,7.0,30,7.444,340.668,0.0,66.6
30_13,2018,3,4,0.0,0.0,0.0,36,8.52,338.25,0.0,60.0
30_13,2018,4,9,4.0,0.0,0.0,56,5.628888888888889,335.62,0.0,60.333333333333336
30_13,2018,5,9,9.0,0.0,0.0,56,6.232222222222223,336.28666666666663,0.0,61.333333333333336
30_13,2018,6,36,9.0,0.0,0.0,157,9.162500000000001,334.2163888888889,0.0,63.583333333333336
30_13,2018,7,4,36.0,0.0,0.0,27,9.66,318.6375,0.0,63.75
30_13,2019,3,1,0.0,4.0,4.0,2,8.8,317.1,0.0,70.0
30_13,2019,4,13,1.0,9.0,9.0,85,9.286923076923076,337.90923076923076,0.0,60.61538461538461
30_13,2019,5,20,13.0,9.0,9.0,70,6.851999999999999,333.35,0.0,60.45
30_13,2019,6,18,20.0,36.0,36.0,114,7.614444444444445,333.9327777777778,0.0,64.66666666666667
30_13,2019,7,3,18.0,4.0,4.0,5,11.0,341.08666666666664,0.0,60.0
30_13,2019,8,1,3.0,0.0,0.0,5,10.87,344.79,0.0,60.0
